Category: All categories

Week,Combined Graduate Level Examination: (India),NDA Exam: (India),REET: (India),CSIR UGC NET: (India),UGC NET: (India)
2021-10-17,7,7,4,1,6
2021-10-24,7,7,5,1,6
2021-10-31,5,7,17,<1,5
2021-11-07,6,11,5,1,8
2021-11-14,7,6,4,1,8
2021-11-21,7,3,5,1,8
2021-11-28,8,4,4,1,6
2021-12-05,7,4,3,1,5
2021-12-12,7,5,3,1,5
2021-12-19,11,7,3,1,5
2021-12-26,13,7,5,1,5
2022-01-02,13,8,6,1,5
2022-01-09,12,7,5,1,4
2022-01-16,15,6,5,1,6
2022-01-23,13,5,5,1,6
2022-01-30,13,5,6,1,5
2022-02-06,11,4,7,1,5
2022-02-13,11,4,4,2,7
2022-02-20,9,4,5,1,6
2022-02-27,10,4,6,1,5
2022-03-06,10,4,4,1,4
2022-03-13,8,5,3,1,4
2022-03-20,12,6,3,1,5
2022-03-27,12,6,4,1,5
2022-04-03,12,8,3,1,5
2022-04-10,18,6,4,1,5
2022-04-17,12,4,4,1,5
2022-04-24,8,4,5,<1,5
2022-05-01,7,4,4,1,7
2022-05-08,16,10,16,2,13
2022-05-15,16,17,19,2,21
2022-05-22,16,19,20,2,17
2022-05-29,17,15,18,2,14
2022-06-05,20,19,19,2,14
2022-06-12,20,16,19,2,14
2022-06-19,21,15,23,2,14
2022-06-26,21,15,17,2,22
2022-07-03,30,13,25,3,21
2022-07-10,28,13,39,4,16
2022-07-17,31,11,70,4,14
2022-07-24,30,11,77,3,14
2022-07-31,32,13,18,4,20
2022-08-07,27,12,14,4,16
2022-08-14,34,16,18,4,10
2022-08-21,34,18,13,4,11
2022-08-28,29,23,11,5,11
2022-09-04,30,18,13,5,14
2022-09-11,40,10,13,8,23
2022-09-18,70,12,13,4,17
2022-09-25,54,7,20,4,19
2022-10-02,60,7,11,3,15
2022-10-09,64,6,9,3,18
2022-10-16,53,5,10,3,13
2022-10-23,42,4,6,3,10
2022-10-30,62,5,9,3,19
2022-11-06,61,5,9,3,15
2022-11-13,68,4,10,4,10
2022-11-20,73,4,10,2,9
2022-11-27,100,5,9,2,8
2022-12-04,85,5,10,2,8
2022-12-11,79,5,12,2,10
2022-12-18,63,11,10,2,9
2022-12-25,47,13,12,2,13
2023-01-01,42,13,14,2,18
2023-01-08,39,13,14,2,19
2023-01-15,38,7,17,2,20
2023-01-22,36,5,15,2,15
2023-01-29,44,6,12,2,15
2023-02-05,61,6,13,2,17
2023-02-12,43,6,17,2,17
2023-02-19,47,5,27,2,21
2023-02-26,63,6,34,3,27
2023-03-05,46,6,10,3,17
2023-03-12,69,9,13,5,18
2023-03-19,42,12,14,4,20
2023-03-26,39,16,9,4,16
2023-04-02,59,16,9,4,20
2023-04-09,48,24,9,4,25
2023-04-16,44,20,8,4,15
2023-04-23,55,14,6,3,14
2023-04-30,46,15,6,3,14
2023-05-07,49,14,7,4,18
2023-05-14,52,16,7,4,18
2023-05-21,38,19,17,5,19
2023-05-28,37,18,19,6,21
2023-06-04,37,18,20,7,23
2023-06-11,35,13,17,4,28
2023-06-18,38,12,10,3,16
2023-06-25,38,11,9,3,13
2023-07-02,46,10,10,4,19
2023-07-09,65,10,8,3,13
2023-07-16,68,10,7,3,12
2023-07-23,53,9,7,5,17
2023-07-30,55,11,8,4,14
2023-08-06,38,12,8,3,13
2023-08-13,34,13,7,3,12
2023-08-20,34,14,11,3,13
2023-08-27,32,18,10,2,12
2023-09-03,33,12,9,3,13
2023-09-10,35,7,13,3,14
2023-09-17,37,9,10,3,14
2023-09-24,32,11,8,3,14
2023-10-01,29,7,7,4,25
2023-10-08,26,5,5,3,20
2023-10-15,23,5,5,3,18
2023-10-22,27,6,5,3,21
2023-10-29,32,6,5,4,20
2023-11-05,25,5,5,4,16
2023-11-12,21,4,4,3,15
2023-11-19,23,4,4,4,19
2023-11-26,25,5,4,5,22
2023-12-03,33,5,4,4,31
2023-12-10,28,6,5,5,22
2023-12-17,26,11,4,6,12
2023-12-24,28,12,4,6,17
2023-12-31,30,11,4,4,23
2024-01-07,31,11,5,4,14
2024-01-14,32,6,4,3,32
2024-01-21,33,6,4,3,15
2024-01-28,35,7,5,3,13
2024-02-04,27,6,4,4,12
2024-02-11,24,5,5,4,12
2024-02-18,27,5,5,4,13
2024-02-25,29,5,4,3,13
2024-03-03,26,7,4,3,12
2024-03-10,25,10,4,3,13
2024-03-17,24,11,4,3,13
2024-03-24,21,10,3,3,12
2024-03-31,25,14,3,3,14
2024-04-07,25,16,3,3,14
2024-04-14,22,19,3,3,14
2024-04-21,23,13,3,4,25
2024-04-28,26,8,4,4,24
2024-05-05,27,10,4,5,29
2024-05-12,26,12,4,5,25
2024-05-19,27,14,4,5,21
2024-05-26,28,14,4,4,22
2024-06-02,27,20,3,4,22
2024-06-09,32,8,5,5,38
2024-06-16,34,8,7,7,55
2024-06-23,64,8,7,4,20
2024-06-30,58,5,7,4,16
2024-07-07,56,4,6,4,15
2024-07-14,58,5,6,4,17
2024-07-21,63,5,6,7,16
2024-07-28,44,6,6,4,17
2024-08-04,44,6,6,4,18
2024-08-11,39,7,5,3,19
2024-08-18,41,10,4,3,23
2024-08-25,55,15,5,3,24
2024-09-01,60,10,5,3,18
2024-09-08,98,4,6,4,20
2024-09-15,67,7,5,4,17
2024-09-22,60,6,5,4,20
2024-09-29,81,4,5,3,19
2024-10-06,32,3,10,2,18
2024-10-13,31,3,16,5,27
2024-10-20,30,3,10,3,15
2024-10-27,22,3,9,2,9
2024-11-03,26,3,12,3,12
2024-11-10,28,3,14,3,12
2024-11-17,31,3,13,4,19
2024-11-24,31,3,13,3,20
2024-12-01,41,3,14,4,22
2024-12-08,30,7,23,5,25
2024-12-15,31,10,34,4,22
2024-12-22,26,10,31,4,23
2024-12-29,27,8,30,5,27
2025-01-05,31,4,32,4,30
2025-01-12,34,4,28,4,15
2025-01-19,45,4,32,4,12
2025-01-26,27,4,33,4,17
2025-02-02,24,4,36,4,16
2025-02-09,23,3,37,4,16
2025-02-16,25,4,55,5,18
2025-02-23,26,4,68,7,18
2025-03-02,25,4,18,4,14
2025-03-09,37,5,10,4,11
2025-03-16,36,8,34,3,12
2025-03-23,29,8,26,3,12
2025-03-30,27,11,12,3,11
2025-04-06,27,14,10,3,12
2025-04-13,27,10,10,5,16
2025-04-20,28,6,10,4,19
2025-04-27,28,8,10,4,20
2025-05-04,26,8,16,3,22
2025-05-11,28,7,12,3,18
2025-05-18,28,7,8,3,17
2025-05-25,31,11,8,3,19
2025-06-01,45,14,9,4,21
2025-06-08,53,13,7,4,23
2025-06-15,57,16,10,4,29
2025-06-22,60,8,11,5,38
2025-06-29,70,8,14,5,17
2025-07-06,47,8,14,4,25
